DIAG SET 1: MAM MEANS GLOBAL
 
TEST CASE: corey34 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2020-2029)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM             1.452               2.197            -0.744         4.210
RESSURF           -1.116              -0.374            -0.741         6.753
SOLIN            338.254             338.254             0.000         0.000
AAM            1.556e+26           1.534e+26         2.228e+24      -999.000
CHI_200            0.002               0.003            -0.002         0.420
CLDHGH            28.956              28.879             0.077         2.529
CLDLOW            31.305              31.271             0.034         1.813
CLDMED            15.951              15.878             0.074         1.809
CLDTOT            49.632              49.563             0.069         2.273
EKE_850           28.634              28.157             0.477         2.696
EP             1.867e-02           1.990e-02        -1.234e-03         0.542
FLNS              60.990              60.443             0.547         2.095
FLNSC             83.243              82.522             0.721         1.701
FLNT             233.215             233.724            -0.508         3.214
FLNTC            262.634             263.152            -0.517         1.384
FSDS             185.435             185.073             0.362         4.641
FSDSC            244.289             243.945             0.343         1.006
FSNS             159.805             160.898            -1.093         5.568
FSNSC            212.434             213.858            -1.424         5.688
FSNSC_ICE         40.541              39.891             0.650         3.386
FSNSC_LAND       190.107             190.367            -0.259         2.910
FSNT             234.667             235.920            -1.253         5.208
FSNTC            283.748             285.370            -1.622         5.516
ICEAREA           22.877              22.676             0.202         0.044
LHFLX             81.891              82.836            -0.945         6.869
LWCF              29.419              29.428            -0.009         2.519
PRECT              2.784               2.816            -0.032         0.515
PRECT_LAND         2.228               2.278            -0.050         0.377
PRECT_OCEAN        3.135               3.155            -0.021         0.582
PREH2O            25.681              26.395            -0.714         1.245
PREH2O_OCEAN      30.287              31.129            -0.842         1.426
PSI_200           -0.021              -0.021            -0.000         0.207
PS               985.404             985.474            -0.070         0.998
PSL             1011.146            1011.191            -0.045         1.047
QFLX               2.803               2.836            -0.033         0.204
SHFLX             18.039              17.993             0.046         2.350
SNOWHLND          12.442              12.396             0.046         1.363
SST               20.637              21.015            -0.378         0.545
STRESS_MAG         0.067               0.065             0.002         0.012
SWCF             -49.081             -49.450             0.369         4.103
T_850            281.920             282.240            -0.320         0.584
TGCLDLWP         129.134             129.294            -0.159        13.034
TGCLDIWP          17.750              17.551             0.199         1.740
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           287.829             288.164            -0.334         0.621
TS               288.551             288.905            -0.354         0.662
TS_LAND          282.430             282.741            -0.311         0.796
U_200             16.958              16.829             0.130         1.709
VT_850             0.198               0.171             0.027         1.154
Z3_500            56.717              56.789            -0.072         0.147
